Business Name,Address Line 1,Address Line 2,Address Line 3,Postcode,Business Type ID,Business Type Description,Food Hygiene Rating Scheme ID,Food Hygiene Rating Scheme Type,Hygiene Score,Structural Score,Confidence In Management Score,Rating Value,Rating Date,New Rating Pending,Local Authority Business ID,Local Authority Code,Local Authority Name,Local Authority Email Address,Local Authority Website,Ward Code,Ward Name,Easting,Northing,Longitude,Latitude,Spatial Accuracy,Last Uploaded,Location,Socrata ID
Pax Lodge Olave Centre,Olave Centre,12C      Lyndhurst Road,London,NW3 5PQ,1,Restaurant/Cafe/Canteen,424709,FHRS,0,0,5,5,02/07/2010,False,3136,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,526942,185342,-0.170478,51.552703,Unknown,08/05/2016,"(51.552703, -0.170478)",1698
Paya Chinese and Thai,,96      West End Lane,,NW6 2LU,1,Restaurant/Cafe/Canteen,735896,FHRS,10,15,10,2,10/02/2015,False,79221,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,525540,184573,-0.190963,51.546097,Unknown,08/05/2016,"(51.546097, -0.190963)",1699
Abbey Tavern,,124      Kentish Town Road,,NW1 9QB,7843,Pub/bar/nightclub,611002,FHRS,5,10,10,3,18/09/2013,False,78634,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,528967,184668,-0.141548,51.546187,Unknown,08/05/2016,"(51.546187, -0.141548)",17
Baxter Storey,,200      Gray's Inn Road,London,WC1X 8XZ,1,Restaurant/Cafe/Canteen,426315,FHRS,5,0,0,5,01/02/2012,False,71464,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530932,182189,-0.114148,51.523449,Unknown,08/05/2016,"(51.523449, -0.114148)",170
Payless,,125      Kentish Town Road,London,NW1 8PB,4613,Retailers - other,424888,FHRS,10,10,10,3,04/03/2013,False,3831,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528959,184464,-0.141738,51.544356,Unknown,08/05/2016,"(51.544356, -0.141738)",1700
Pearl Bar & Restaurant,Chancery Court Hotel,252      High Holborn,London,WC1V 7EN,1,Restaurant/Cafe/Canteen,425178,FHRS,5,0,0,5,23/01/2008,False,50169,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530686,181524,-0.117924,51.517538,Unknown,08/05/2016,"(51.517538, -0.117924)",1701
Peggy's Cupcakes,Brunswick Market,Brunswick Centre,,,7839,Manufacturers/packers,425738,FHRS,0,5,0,5,30/05/2009,False,60329,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,530247,182232,-0.12399999797344,51.523998260498,Unknown,08/05/2016,"(51.523998260498, -0.12399999797344)",1702
Pembroke,,150      Gloucester Avenue,London,NW1 8JA,7843,Pub/bar/nightclub,424211,FHRS,5,0,0,5,27/07/2010,False,21082,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528056,184200,-0.154835,51.54218,Unknown,08/05/2016,"(51.54218, -0.154835)",1703
Peoples centre for change,,96-98      Shoot-Up Hill,,NW2 3XJ,1,Restaurant/Cafe/Canteen,708531,FHRS,5,5,5,5,17/09/2014,False,75799,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,524276,185181,-0.208981,51.551849,Unknown,08/05/2016,"(51.551849, -0.208981)",1705
Penderel's Oak,New Penderel House,283-287      High Holborn,London,WC1V 7HP,7843,Pub/bar/nightclub,424508,FHRS,5,5,5,5,29/01/2013,False,24825,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530858,181565,-0.115445,51.517867,Unknown,08/05/2016,"(51.517867, -0.115445)",1704
Peppercorn's,,260      West End Lane,,NW6 1LJ,4613,Retailers - other,571661,FHRS,5,5,10,4,05/05/2013,False,77058,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,525469,185205,-0.191761,51.551801,Unknown,08/05/2016,"(51.551801, -0.191761)",1706
Perry Court Farm,Eton Avenue Street Market,Eton Avenue,London,,4613,Retailers - other,842158,FHRS,0,10,0,4,13/01/2016,False,33063,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1707
Perugino,,10      Tottenham Street,London,W1T 4RD,7844,Takeaway/sandwich shop,423660,FHRS,0,5,0,5,19/04/2012,False,10337,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529476,181850,-0.135233,51.520746,Unknown,08/05/2016,"(51.520746, -0.135233)",1708
Peruvian Food,West Yard,Camden Lock Place,London,NW1 8AF,7846,Mobile caterer,425975,FHRS,10,10,10,3,12/03/2016,False,62631,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528631,184085,-0.146604,51.541016,Unknown,08/05/2016,"(51.541016, -0.146604)",1709
Pesantissimo Restaurant,,57      Regent's Park Road,,NW1 8XD,1,Restaurant/Cafe/Canteen,425909,FHRS,15,20,20,0,23/03/2016,False,62092,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,527857,184049,-0.157758,51.540868,Unknown,08/05/2016,"(51.540868, -0.157758)",1710
Pescatori,,55-57      Charlotte Street,London,W1T 4PD,1,Restaurant/Cafe/Canteen,423671,FHRS,0,10,0,4,27/04/2012,False,10399,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529404,181723,-0.136317,51.519613,Unknown,08/05/2016,"(51.519613, -0.136317)",1711
Peter's Pizzeria Ristorante,,65 Fairfax Road,,NW6 4EE,1,Restaurant/Cafe/Canteen,653522,FHRS,0,5,5,5,07/03/2014,False,80085,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000144,Swiss Cottage,526334,184212,-0.179648,51.542684,Unknown,08/05/2016,"(51.542684, -0.179648)",1712
Peyton & Byrne,The Heals Building,196      Tottenham Court Road,London,W1T 7LG,4613,Retailers - other,425340,FHRS,10,10,10,3,08/10/2012,False,54383,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1713
Peyton and Byrne,The British Library,96 Euston Road,,NW1 2DB,1,Restaurant/Cafe/Canteen,759358,FHRS,10,10,10,3,11/11/2014,False,82608,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,530020,182893,-0.127026,51.529994,Unknown,08/05/2016,"(51.529994, -0.127026)",1714
Peyton and Byrne,,1      St Giles High Street,,WC2H 8AG,1,Restaurant/Cafe/Canteen,470886,FHRS,10,5,5,4,22/08/2012,False,74804,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530041,181350,-0.127293,51.516115,Unknown,08/05/2016,"(51.516115, -0.127293)",1715
Phileas Hog at The Abbey Tavern,,124      Kentish Town Road,,NW1 9QB,7843,Pub/bar/nightclub,583264,FHRS,10,10,10,3,10/07/2013,False,77931,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,528967,184668,-0.141548,51.546187,Unknown,08/05/2016,"(51.546187, -0.141548)",1716
Philomena's,,40      Great Queen Street,London,WC2B 5AA,7843,Pub/bar/nightclub,423853,FHRS,5,10,5,4,09/02/2012,False,13777,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530416,181251,-0.121914,51.515147,Unknown,08/05/2016,"(51.515147, -0.121914)",1717
Phineas,,25      Gordon Street,London,WC1H 0AH,7843,Pub/bar/nightclub,425228,FHRS,5,10,5,4,26/01/2015,False,51815,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529617,182364,-0.133013,51.525333,Unknown,08/05/2016,"(51.525333, -0.133013)",1718
Phoenicia Meditterranean Food,,186-188      Kentish Town Road,London,NW5 2AE,4613,Retailers - other,424968,FHRS,0,10,10,4,06/09/2012,False,42348,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,528992,184823,-0.141117,51.547574,Unknown,08/05/2016,"(51.547574, -0.141117)",1719
Baxter Storey,Hogarth House,136      High Holborn,,WC1V 6PX,7841,Other catering premises,470884,FHRS,5,0,5,5,21/11/2012,False,74756,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530385,181517,-0.122276,51.517545,Unknown,08/05/2016,"(51.517545, -0.122276)",172
Phoenix School,,36      College Crescent,London,NW3 5LF,7845,School/college/university,425011,FHRS,0,0,0,5,28/02/2007,False,4436,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000133,Frognal and Fitzjohns,526486,184554,-0.177349,51.545715,Unknown,08/05/2016,"(51.545715, -0.177349)",1720
Piccolo Cafe,,115      Euston Street,London,NW1 2EX,1,Restaurant/Cafe/Canteen,426469,FHRS,10,10,10,3,23/03/2015,False,8492,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529367,182482,-0.136585,51.526451,Unknown,08/05/2016,"(51.526451, -0.136585)",1721
Pied a Terre,,34      Charlotte Street,London,W1T 2NH,1,Restaurant/Cafe/Canteen,423669,FHRS,5,5,5,5,14/03/2014,False,10382,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529486,181668,-0.13517,51.5191,Unknown,08/05/2016,"(51.5191, -0.13517)",1722
Pieminister,,91      Leather Lane,,EC1N 7TS,1,Restaurant/Cafe/Canteen,470861,FHRS,5,5,5,5,23/07/2013,False,73989,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,531203,181969,-0.110312,51.521409,Unknown,08/05/2016,"(51.521409, -0.110312)",1723
Pinner Cafe,,44      Chalton Street,London,NW1 1JB,1,Restaurant/Cafe/Canteen,426152,FHRS,0,5,10,4,24/09/2012,False,6789,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000143,St Pancras and Somers Town,529838,182832,-0.129657,51.529488,Unknown,08/05/2016,"(51.529488, -0.129657)",1725
Pinocchio,St Cuthberts Church,Fordwych Road,London,NW2 3TN,4613,Retailers - other,424763,FHRS,0,5,0,5,27/10/2010,False,33204,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,524758,184868,-0.20213,51.548921,Unknown,08/05/2016,"(51.548921, -0.20213)",1726
Pisqu,,23 Rathbone Place,,W1T 1HZ,1,Restaurant/Cafe/Canteen,854957,FHRS,20,20,20,0,01/03/2016,False,83789,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529577,181509,-0.133917,51.517659,Unknown,08/05/2016,"(51.517659, -0.133917)",1727
Pit Stop,,157 Kentish Town Road,,NW1 8PD,1,Restaurant/Cafe/Canteen,817060,FHRS,15,10,10,2,16/10/2015,False,81772,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528940,184619,-0.141955,51.545753,Unknown,08/05/2016,"(51.545753, -0.141955)",1728
Pix Pintxos,,63      Neal Street,London,WC2H 9PJ,1,Restaurant/Cafe/Canteen,426022,FHRS,5,5,5,5,01/07/2015,False,64433,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530097,181204,-0.126526,51.51479,Unknown,08/05/2016,"(51.51479, -0.126526)",1729
Baxter Storey,Herbal House,10      Back Hill,,EC1R 5LQ,1,Restaurant/Cafe/Canteen,507264,FHRS,5,5,5,5,29/01/2013,False,75037,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,173
Pizza & Chicken Zone,,171 Kentish Town Road,,NW1 8PD,7844,Takeaway/sandwich shop,653504,FHRS,10,15,20,1,22/06/2015,False,79639,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528940,184619,-0.141955,51.545753,Unknown,08/05/2016,"(51.545753, -0.141955)",1730
Pizza Direct London Ltd,,179      York Way,London,N7 9LN,7844,Takeaway/sandwich shop,535604,FHRS,5,10,10,3,28/02/2014,False,37304,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000131,Cantelowes,529875,184926,-0.128366,51.548298,Unknown,08/05/2016,"(51.548298, -0.128366)",1731
Pizza East Kentish Town,"Shop And Premises At Suite 501, Highgate Studios",53-79 Highgate Road,,NW5 1TL,1,Restaurant/Cafe/Canteen,667848,FHRS,5,5,5,5,06/11/2015,False,80004,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,528717,185466,-0.144846,51.553407,Unknown,08/05/2016,"(51.553407, -0.144846)",1732
Pizza Express,,114-118      Southampton Row,London,WC1B 5AA,1,Restaurant/Cafe/Canteen,426460,FHRS,0,0,0,5,11/03/2011,False,835,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530352,181861,-0.12261,51.520644,Unknown,08/05/2016,"(51.520644, -0.12261)",1733
Pizza Express,,93      Euston Road,London,NW1 2RA,1,Restaurant/Cafe/Canteen,424853,FHRS,5,5,10,4,26/11/2015,False,37092,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,529997,182716,-0.127423,51.528401,Unknown,08/05/2016,"(51.528401, -0.127423)",1734
Pizza Express,,319-323      West End Lane,London,NW6 1RP,1,Restaurant/Cafe/Canteen,424427,FHRS,10,0,5,4,24/02/2014,False,22776,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000145,West Hampstead,525421,185179,-0.192476,51.551578,Unknown,08/05/2016,"(51.551578, -0.192476)",1735
Pizza Express,,99      High Holborn,London,WC1V 6LF,1,Restaurant/Cafe/Canteen,424641,FHRS,0,0,0,5,22/08/2012,False,29424,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530629,181608,-0.118714,51.518298,Unknown,08/05/2016,"(51.518298, -0.118714)",1736
Pizza Express Ltd,,194A      Haverstock Hill,London,NW3 2AJ,1,Restaurant/Cafe/Canteen,424761,FHRS,10,15,5,2,19/03/2015,False,3312,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,527353,185125,-0.164646,51.550652,Unknown,08/05/2016,"(51.550652, -0.164646)",1737
Pizza Express Ltd,,70      Heath Street,London,NW3 1DN,1,Restaurant/Cafe/Canteen,424203,FHRS,0,5,0,5,28/06/2012,False,2101,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,526389,185874,-0.178259,51.557608,Unknown,08/05/2016,"(51.557608, -0.178259)",1738
Pizza Express Ltd,,30      Coptic Street,London,WC1A 1NS,1,Restaurant/Cafe/Canteen,423702,FHRS,15,10,10,2,26/11/2014,False,10947,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530110,181523,-0.126235,51.517654,Unknown,08/05/2016,"(51.517654, -0.126235)",1739
Pizza Express Ltd,,85-87      Parkway,London,NW1 7PP,1,Restaurant/Cafe/Canteen,425901,FHRS,0,0,0,5,30/03/2012,False,6201,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528721,183666,-0.145446,51.53723,Unknown,08/05/2016,"(51.53723, -0.145446)",1740
Pizza Hut (UK) Ltd,,120      Fortess Road,London,NW5 2HL,1,Restaurant/Cafe/Canteen,424850,FHRS,0,0,0,5,25/02/2011,False,3697,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000139,Kentish Town,529106,185713,-0.139148,51.555538,Unknown,08/05/2016,"(51.555538, -0.139148)",1742
Pizza Hut (Uk) Limited,,38      Camden High Street,London,NW1 0JH,1,Restaurant/Cafe/Canteen,425486,FHRS,0,5,0,5,02/08/2012,False,5658,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000142,Regent's Park,529174,183470,-0.13899,51.535365,Unknown,08/05/2016,"(51.535365, -0.13899)",1743
Pizza Micco,,94      Fortune Green Road,London,NW6 1DS,7844,Takeaway/sandwich shop,424469,FHRS,10,10,10,3,17/02/2016,False,2398,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000132,Fortune Green,525124,185516,-0.196638,51.554664,Unknown,08/05/2016,"(51.554664, -0.196638)",1744
Pizza Napoli,312-313 The Stables Market,Chalk Farm Road,London,NW1 8AH,7844,Takeaway/sandwich shop,425313,FHRS,15,10,20,1,01/02/2016,False,54066,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528575,184192,-0.147371,51.541999,Unknown,08/05/2016,"(51.541999, -0.147371)",1745
Pizza and Crepes,338 The Stables Market,Chalk Farm Road,London,NW1 8AH,1,Restaurant/Cafe/Canteen,424530,FHRS,10,5,5,4,04/12/2014,False,25775,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528574,184192,-0.147372,51.541999,Unknown,08/05/2016,"(51.541999, -0.147372)",1746
Pizzeria Amalfi Ltd,,107      Southampton Row,London,WC1B 4HH,1,Restaurant/Cafe/Canteen,423727,FHRS,10,5,10,3,22/08/2012,False,11177,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,530260,181893,-0.123924,51.520944,Unknown,08/05/2016,"(51.520944, -0.123924)",1747
Pizzeria Bellissmo Italia,705 The Stables Market,Chalk Farm Road,London,NW1 8AH,7844,Takeaway/sandwich shop,854952,FHRS,10,5,10,3,25/02/2016,False,180798,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528575,184192,-0.147371,51.541999,Unknown,08/05/2016,"(51.541999, -0.147371)",1748
Pizzeria Malletti,,174-176      Clerkenwell Road,London,EC1R 5DD,1,Restaurant/Cafe/Canteen,425642,FHRS,5,5,10,4,30/03/2012,False,58707,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,531011,182008,-0.113063,51.521804,Unknown,08/05/2016,"(51.521804, -0.113063)",1749
Planet Organic,The Heals Building,22      Torrington Place,London,WC1E 7HJ,4613,Retailers - other,424770,FHRS,5,0,0,5,18/11/2015,False,33331,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529552,181921,-0.134126,51.521367,Unknown,08/05/2016,"(51.521367, -0.134126)",1751
Planet Pizza,,262      Kilburn High Road,London,NW6 2BY,7844,Takeaway/sandwich shop,424950,FHRS,10,10,10,3,30/09/2014,False,4162,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,524949,184278,-0.1996,51.543577,Unknown,08/05/2016,"(51.543577, -0.1996)",1752
Planet of The Grapes Wines & Spirits,,9-11      New Oxford Street,London,WC1A 1BE,4613,Retailers - other,425568,FHRS,0,0,0,5,15/04/2008,False,57716,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,1753
Pod,Maxclif House,5-7      Tottenham Street,London,W1T 2AG,1,Restaurant/Cafe/Canteen,426341,FHRS,5,5,5,5,18/03/2014,False,71794,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,529498,181835,-0.134936,51.520598,Unknown,08/05/2016,"(51.520598, -0.134936)",1754
Pod,,124      High Holborn,London,WC1V 6AN,1,Restaurant/Cafe/Canteen,426091,FHRS,10,10,10,3,14/03/2014,False,66074,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530463,181544,-0.121143,51.517761,Unknown,08/05/2016,"(51.517761, -0.121143)",1755
Pod Food Ltd,,6-7      Central Saint Giles Piazza,,WC2H 8AG,1,Restaurant/Cafe/Canteen,470822,FHRS,10,5,0,4,27/02/2014,False,71706,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530041,181350,-0.127293,51.516115,Unknown,08/05/2016,"(51.516115, -0.127293)",1756
Pod Food Ltd,,6a      Leather Lane,,EC1N 7RA,1,Restaurant/Cafe/Canteen,516227,FHRS,5,5,5,5,06/02/2013,False,74647,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,531306,181649,-0.108947,51.518518,Unknown,08/05/2016,"(51.518518, -0.108947)",1757
Poem Bar & Grill,,94      Boundary Road,London,NW8 0RH,1,Restaurant/Cafe/Canteen,425626,FHRS,5,10,10,3,22/10/2012,False,58447,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,525942,183619,-0.185524,51.537434,Unknown,08/05/2016,"(51.537434, -0.185524)",1758
Polish Kitchen,Brunswick Market,Brunswick Centre,London,,7846,Mobile caterer,425887,FHRS,5,5,5,5,27/02/2010,False,61946,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,530298,182175,-0.123277,51.523476,Unknown,08/05/2016,"(51.523476, -0.123277)",1759
Baxter Storey Ltd.,Greater London House,Hampstead Road,,NW1 7FB,1,Restaurant/Cafe/Canteen,773847,FHRS,5,5,0,5,12/05/2015,False,83828,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,,,,,,,Unknown,08/05/2016,,176
Pollys,,55      South End Road,London,NW3 2QB,1,Restaurant/Cafe/Canteen,424492,FHRS,0,15,20,1,05/11/2015,False,24532,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000135,Hampstead Town,527191,185671,-0.166784,51.555595,Unknown,08/05/2016,"(51.555595, -0.166784)",1760
Pomona Foods Ltd,,179      Haverstock Hill,London,NW3 4QS,4613,Retailers - other,424758,FHRS,10,10,10,3,21/01/2013,False,3304,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000128,Belsize,527332,185067,-0.164956,51.550135,Unknown,08/05/2016,"(51.550135, -0.164956)",1762
Poppadom Express,Royal National Hotel,Bedford Way,London,WC1H 0JX,1,Restaurant/Cafe/Canteen,425388,FHRS,10,5,5,4,04/02/2014,False,55145,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000129,Bloomsbury,530026,182144,-0.127202,51.523262,Unknown,08/05/2016,"(51.523262, -0.127202)",1763
Poppies Fish and Chips,,30      Hawley Crescent,,NW1 8NP,1,Restaurant/Cafe/Canteen,740230,FHRS,5,5,5,5,15/01/2015,False,75092,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528869,184079,-0.143176,51.540916,Unknown,08/05/2016,"(51.540916, -0.143176)",1764
Poppies of Camden,339 - 341 Stables Market,Chalk Farm Road,London,NW1 8AH,7844,Takeaway/sandwich shop,849895,FHRS,0,5,5,5,01/02/2016,False,180586,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528575,184192,-0.147371,51.541999,Unknown,08/05/2016,"(51.541999, -0.147371)",1765
Porky's BBQ,,18      Chalk Farm Road,London,NW1 8AG,1,Restaurant/Cafe/Canteen,425189,FHRS,5,0,5,5,19/06/2012,False,50406,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,528650,184222,-0.146266,51.542251,Unknown,08/05/2016,"(51.542251, -0.146266)",1766
Portland Food & Wine,Premier House,150      Southampton Row,London,WC1B 5AL,4613,Retailers - other,425724,FHRS,5,10,10,3,25/05/2012,False,60198,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,530297,181950,-0.123384,51.521448,Unknown,08/05/2016,"(51.521448, -0.123384)",1767
Portofino,,5      Kirby Street,London,EC1N 8TS,7844,Takeaway/sandwich shop,425806,FHRS,10,10,10,3,02/10/2012,False,61031,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000138,Holborn and Covent Garden,531423,181845,-0.107203,51.520244,Unknown,08/05/2016,"(51.520244, -0.107203)",1768
Portugal Patisserie Eastman Dental Hospital,,256      Gray's Inn Road,London,WC1X 8LD,1,Restaurant/Cafe/Canteen,507260,FHRS,5,10,5,4,23/01/2013,False,66642,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,530723,182449,-0.117048,51.525842,Unknown,08/05/2016,"(51.525842, -0.117048)",1769
Pound Superstore,,260      Kilburn High Road,London,NW6 2BY,4613,Retailers - other,425520,FHRS,5,5,5,5,19/11/2009,False,57050,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,524949,184278,-0.1996,51.543577,Unknown,08/05/2016,"(51.543577, -0.1996)",1771
Poundland,,110-114      Kilburn High Road,London,NW6 4HY,4613,Retailers - other,456894,FHRS,5,5,5,5,14/05/2009,False,60108,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,525292,183852,-0.194794,51.539681,Unknown,08/05/2016,"(51.539681, -0.194794)",1772
Poundland,,172      Kilburn High Road,London,NW6 4JD,4613,Retailers - other,424938,FHRS,5,5,0,5,24/06/2008,False,4109,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,525187,183977,-0.196263,51.540819,Unknown,08/05/2016,"(51.540819, -0.196263)",1773
Poundmax,,182      Kilburn High Road,London,NW6 4JD,4613,Retailers - other,667809,FHRS,5,5,10,4,12/10/2011,False,67491,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000140,Kilburn,525187,183977,-0.196263,51.540819,Unknown,08/05/2016,"(51.540819, -0.196263)",1774
Pratt Food & Wine,,31A      Pratt Street,London,NW1 0BG,4613,Retailers - other,424351,FHRS,10,10,10,3,04/07/2013,False,22204,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000130,Camden Town with Primrose Hill,529124,183747,-0.139623,51.537866,Unknown,08/05/2016,"(51.537866, -0.139623)",1775
Premier Food & Wine,,296      Gray's Inn Road,London,WC1X 8DX,4613,Retailers - other,426108,FHRS,15,10,10,2,24/09/2014,False,66704,506,Camden,planningandpublicprotection@camden.gov.uk,http://www.camden.gov.uk,E05000141,King's Cross,530613,182680,-0.118561,51.527944,Unknown,08/05/2016,"(51.527944, -0.118561)",1776
