sn,s4weight,s4act1,s1truan1,s1gor,dadsec,momsec,famsec,s1pared,s1sex
249192,,,7,6,6,6,6,3,1
249193,,,7,9,2,6,2,1,1
249194,0.35231164984114,2,7,3,2,2,2,1,2
249198,,,4,5,3,3,3,3,1
249206,,,4,4,4,5,4,1,1
249209,0.83510525153256,2,7,6,3,3,3,3,2
249210,,,7,3,3,6,3,3,2
249211,,,7,5,3,2,2,3,1
249212,,,4,5,4,2,2,1,2
249214,,,7,8,6,2,2,2,1
249215,,,1,2,5,6,5,3,2
249218,,,7,6,3,2,2,3,2
249219,,,7,5,6,5,5,3,2
249220,1.359155761909,3,7,8,3,6,3,3,2
249221,,,7,2,3,3,3,3,2
249225,0.948038114423648,2,7,8,5,2,2,1,1
249227,,,4,8,3,5,3,3,2
249228,,,7,3,3,6,3,3,1
249230,3.38625094053782,3,7,3,4,5,4,3,2
249231,,,7,10,1,2,1,2,1
249232,0.903655768880617,2,7,6,1,2,1,1,2
249233,,,4,2,4,2,2,2,2
249235,,,7,8,6,6,6,3,2
249237,,,4,6,2,2,2,2,1
249240,0.422958623880692,2,7,4,4,2,2,3,2
249242,,,7,5,2,3,2,2,1
249246,,,7,7,1,6,1,1,2
249247,,,7,3,5,6,5,2,2
249248,1.84525127031186,3,7,9,5,5,5,3,1
249249,,,7,9,4,3,3,3,2
249250,0.831951574830953,3,7,10,5,6,5,3,2
249251,0.66356385005851,2,7,4,2,2,2,3,2
249258,1.38850483694284,2,7,2,5,5,5,2,2
249260,,,7,9,2,6,2,3,2
249263,,,7,2,2,4,2,1,2
249264,0.463276382920453,2,7,9,2,2,2,1,1
249268,,,7,5,5,5,5,3,1
249269,1.50022443956333,3,7,5,6,5,5,3,1
249273,,,4,3,5,6,5,3,1
249274,2.13039665650027,4,7,2,5,4,4,2,2
249276,0.636903472412544,2,7,6,2,5,2,1,2
249277,0.56553282355452,2,7,6,5,2,2,3,2
249278,,,7,4,2,2,2,1,1
249279,,,4,2,1,4,1,1,1
249280,0.316193815932916,2,7,5,2,5,2,3,2
249281,0.525742112116055,3,7,5,4,4,4,3,2
249282,,,7,3,5,5,5,3,2
249283,0.313603032662803,2,7,5,6,4,4,1,1
249285,1.04156954935058,2,4,9,3,2,2,3,1
249292,,,7,6,2,3,2,1,2
249294,,,7,8,3,3,3,2,2
249295,,,7,3,3,6,3,3,1
249296,0.631419628938611,2,4,5,5,2,2,2,2
249298,,,7,11,3,5,3,2,2
249299,0.386252745279662,2,7,10,1,1,1,1,2
249303,0.692923381348228,2,7,5,1,2,1,1,2
249304,,,4,11,6,6,6,3,1
249310,,,4,9,1,2,1,3,2
249311,0.531047671183704,2,7,6,2,1,1,1,2
249312,,,7,5,1,4,1,3,1
249314,,,7,7,2,6,2,1,1
249315,,,4,2,4,2,2,1,1
249316,,,7,9,3,5,3,2,1
249317,,,7,3,6,5,5,3,2
249321,0.744190639459737,2,7,9,3,3,3,3,2
249322,,,4,3,3,6,3,3,2
249324,0.560232774292493,2,4,9,3,3,3,2,1
249325,0.399069801381269,2,7,8,2,5,2,3,2
249326,,,7,7,6,6,6,3,1
249329,,,7,2,5,5,5,3,1
249333,,,1,10,2,6,2,1,2
249334,,,4,10,6,6,6,1,1
249335,0.610977499065268,2,7,2,1,2,1,1,2
249336,,,7,9,3,6,3,3,1
249338,0.527498409810495,2,7,10,3,5,3,2,2
249340,0.306263802165854,2,7,5,3,6,3,1,1
249342,,,4,4,5,5,5,3,1
249343,,,7,2,6,6,6,3,2
249344,,,1,9,3,5,3,3,1
249345,,,4,9,1,5,1,1,2
249347,,,4,6,4,3,3,2,2
249348,0.384078058528868,2,7,7,1,6,1,1,2
249349,0.469627261761379,2,7,9,6,3,3,3,2
249350,0.606028817029396,3,4,5,3,5,3,3,1
249354,,,4,9,6,2,2,3,2
249356,0.811290219192035,4,4,10,4,5,4,3,1
249358,,,-9,6,2,6,2,3,1
249359,2.01498173334063,6,4,3,5,6,5,3,1
249362,,,7,6,3,5,3,3,2
249363,1.63305428918329,1,7,10,4,5,4,2,1
249364,,,-9,8,6,6,6,3,1
249368,0.506330371935734,2,7,2,4,3,3,3,1
249370,,,4,4,4,2,2,2,2
249371,,,7,10,1,5,1,1,1
249374,0.413277312746234,2,7,10,1,4,1,1,2
249375,1.5356051872963,3,7,1,3,3,3,3,2
249378,,,4,3,5,5,5,3,2
249380,1.377794378157,3,7,6,5,5,5,3,1
249382,1.51575514494639,3,7,3,2,2,2,2,2
249383,,,4,6,4,2,2,2,2
249384,,,7,5,6,5,5,1,2
249385,,,7,1,6,6,6,3,2
249386,,,4,2,6,6,6,2,2
249388,,,7,10,2,5,2,1,2
249391,,,7,2,4,5,4,3,2
249392,,,4,9,6,3,3,3,1
249393,0.544617245058025,2,7,11,3,2,2,3,2
249395,,,4,6,6,6,6,3,1
249396,,,4,5,4,5,4,3,1
249397,0.477048571425957,2,7,8,3,2,2,3,2
249400,,,7,2,6,5,5,3,2
249401,,,7,2,5,6,5,3,1
249402,,,4,3,4,4,4,3,2
249403,,,4,2,4,4,4,1,2
249405,,,1,2,6,6,6,3,1
249407,,,4,2,1,1,1,1,1
249409,2.42156288172937,1,7,3,3,5,3,3,2
249410,,,4,3,2,3,2,2,2
249412,,,7,9,1,2,1,1,1
249413,,,7,11,4,2,2,3,1
249415,1.54234601319992,4,7,6,3,3,3,1,2
249417,,,4,7,2,2,2,1,1
249418,,,7,4,3,3,3,1,2
249425,,,4,5,6,5,5,3,2
249426,0.737013740163961,2,7,2,6,6,6,3,1
249427,,,4,1,6,6,6,3,2
249428,0.997328217892253,1,7,4,3,2,2,3,1
249429,0.521856759603741,2,7,4,1,3,1,2,2
249432,0.341659629858269,2,7,3,6,5,5,3,2
249434,0.407300886036394,2,7,2,2,3,2,2,2
249435,1.14918363877383,3,4,9,2,6,2,1,2
249438,,,7,3,3,2,2,3,1
249441,,,7,10,3,6,3,3,1
249443,1.5168546945825,3,7,4,4,3,3,3,1
249444,,,7,1,5,5,5,3,2
249445,,,7,9,1,6,1,2,1
249447,,,7,2,6,3,3,2,1
249448,,,4,1,1,6,1,2,1
249452,1.56937754542549,3,4,3,6,5,5,2,1
249453,1.07990172978982,4,4,6,6,5,5,1,2
249455,5.06597691451436,1,7,5,4,5,4,3,1
249466,1.84814172320287,2,7,3,6,2,2,1,1
249467,,,4,2,6,2,2,1,2
249471,0.618699223788768,2,7,10,6,6,6,3,2
249472,,,7,6,2,2,2,3,2
249476,3.94868164174722,3,7,1,1,5,1,3,1
249479,,,4,2,2,2,2,1,1
249480,,,7,8,6,5,5,2,2
249481,0.569911316970691,3,4,9,4,2,2,3,2
249482,,,4,10,1,2,1,1,2
249484,,,7,9,6,5,5,3,2
249486,0.524446782755411,2,7,9,1,6,1,1,2
249487,,,4,3,6,6,6,3,2
249488,0.629972915743515,6,4,9,6,6,6,3,2
249489,,,4,10,5,5,5,3,1
249493,0.758740875487475,2,7,2,1,4,1,3,1
249494,0.511878994524782,2,7,2,3,2,2,2,2
249496,,,7,8,4,5,4,3,1
249499,0.509681228278761,2,7,11,2,2,2,3,2
249501,,,4,2,2,2,2,1,2
249502,0.695566558917047,2,7,6,1,1,1,1,1
249503,0.504426091349201,3,7,3,4,4,4,2,2
249504,0.289606434619401,2,7,9,3,1,1,1,2
249505,,,7,11,3,6,3,3,2
249507,,,7,2,3,6,3,3,2
249508,,,7,6,6,6,6,3,1
249509,0.750124621474201,2,7,4,1,2,1,2,2
249510,4.6585063779961,3,4,11,6,2,2,2,1
249511,,,4,10,6,5,5,2,2
249513,,,4,10,5,5,5,3,2
249515,0.311002758242462,2,7,3,6,2,2,1,2
249518,,,7,4,5,3,3,2,1
249519,2.96441670078179,5,4,3,6,5,5,2,2
249520,0.562468746794156,4,4,2,2,2,2,3,2
249522,,,1,4,3,2,2,1,1
249526,,,7,11,5,3,3,3,1
249527,,,7,9,5,5,5,3,2
249529,0.364993077250045,2,7,2,6,3,3,3,2
249530,,,1,9,3,5,3,3,1
249531,0.502139476820452,2,4,6,2,2,2,2,2
249532,,,7,6,3,3,3,1,1
249534,,,7,4,5,1,1,1,1
249538,,,4,2,5,5,5,2,1
249541,,,7,2,3,3,3,2,2
249550,,,4,2,5,2,2,3,1
249553,,,7,6,3,5,3,3,1
249554,,,4,10,5,6,5,3,2
249556,3.74014498362049,3,7,9,3,2,2,1,1
249560,,,4,8,6,6,6,3,2
249563,1.82483948887669,3,4,9,4,4,4,1,1
249564,,,7,8,3,5,3,3,2
249566,0.517232984402126,2,7,9,1,2,1,1,1
249567,0.643136334937858,3,4,7,2,6,2,3,1
249569,0.718770949805419,3,4,5,1,2,1,1,1
249570,0.806861408177427,2,7,8,5,5,5,3,2
249571,,,4,3,4,6,4,1,1
249572,1.0204819665392,2,7,11,5,3,3,3,2
249573,,,7,4,2,4,2,3,2
249574,,,7,6,5,6,5,2,1
249576,,,7,4,1,2,1,1,1
249577,,,7,8,2,2,2,2,1
249578,,,7,5,1,3,1,2,2
249579,2.95513300246567,4,1,2,4,6,4,3,2
249580,,,7,2,5,3,3,3,2
249584,0.504664771823953,3,7,9,3,2,2,2,2
249586,0.860304354435596,2,7,7,4,5,4,3,1
249587,,,7,8,2,6,2,1,2
249588,,,1,2,5,6,5,3,2
249589,,,7,4,6,6,6,3,2
249590,0.868964428242112,2,7,1,6,2,2,3,1
249591,,,4,9,4,1,1,3,1
249592,0.339585584184988,2,7,8,1,2,1,1,2
249593,0.774538765193848,1,7,3,5,4,4,3,1
249594,,,7,9,1,2,1,1,1
249597,1.59431044840382,2,7,7,6,6,6,1,1
249599,,,4,4,5,4,4,3,2
249600,0.758740875487475,2,7,2,5,5,5,2,1
249602,,,7,5,5,6,5,3,1
249603,,,7,2,6,3,3,3,1
249604,0.654045911491088,4,4,2,4,4,4,2,1
249606,,,7,10,4,4,4,2,1
249607,,,7,5,6,6,6,3,2
249609,,,7,5,5,5,5,3,1
249616,,,7,3,4,3,3,1,2
249617,0.802389378491686,3,7,4,4,5,4,3,2
249618,,,7,5,1,1,1,1,1
249619,,,7,6,3,2,2,2,1
249620,,,7,5,6,5,5,3,2
249621,,,-9,3,6,5,5,3,2
249631,0.481994127178173,2,7,1,5,5,5,3,2
249633,,,7,8,3,3,3,3,2
249635,0.665949400438239,2,7,9,1,6,1,3,1
249636,,,7,2,3,2,2,3,2
249637,,,4,2,4,5,4,3,2
249638,,,7,1,3,3,3,3,2
249640,,,7,6,3,5,3,2,2
249641,,,4,4,3,3,3,3,2
249644,,,7,9,4,5,4,3,2
249647,,,7,6,1,5,1,1,2
249651,,,7,3,5,4,4,1,2
249652,0.613272259784589,2,7,4,4,5,4,2,1
249654,,,4,4,4,1,1,1,1
249655,,,7,10,5,2,2,3,1
249658,,,7,4,1,2,1,1,2
249659,0.411461497165894,2,7,10,3,2,2,1,2
249661,1.02019362850236,3,1,9,5,3,3,2,2
249662,,,7,11,5,1,1,1,1
249663,,,4,9,3,3,3,1,1
249666,1.22567097791835,4,4,10,3,5,3,3,2
249670,,,4,8,3,5,3,3,2
249671,,,7,2,6,5,5,3,1
249673,0.39640621577194,2,7,2,3,3,3,2,1
249674,,,7,9,5,3,3,3,2
249676,0.541656154855423,2,7,2,1,1,1,1,2
249678,,,4,9,1,6,1,1,1
249679,,,-9,9,6,6,6,3,1
249680,0.431747278103177,2,7,2,1,6,1,2,2
249682,0.659293400448643,2,7,10,1,2,1,1,1
249683,,,7,5,4,5,4,3,1
249684,,,7,11,5,4,4,3,1
249685,,,4,8,3,6,3,3,2
249686,,,4,10,6,4,4,3,1
249687,,,4,7,6,5,5,3,2
249688,1.0285548892196,6,4,9,6,5,5,3,1
249689,0.654867196621084,2,7,2,1,2,1,3,1
249692,,,4,2,1,6,1,2,2
249694,,,4,8,2,3,2,1,1
249697,0.960984928863922,2,7,10,6,5,5,3,1
249703,0.524446782755411,2,7,9,1,3,1,2,2
249706,,,4,9,2,6,2,2,1
249709,1.34493336885341,8,4,10,6,6,6,3,2
249714,,,4,5,3,3,3,3,2
249716,0.954116303832346,8,7,4,2,3,2,3,2
249718,,,7,1,3,3,3,1,2
249720,,,7,10,2,3,2,3,2
249722,0.621323015718074,4,7,5,5,4,4,3,2
249723,,,4,2,6,6,6,3,1
249727,0.723383505576564,2,7,9,2,6,2,2,2
249728,,,7,9,3,5,3,1,1
249729,,,7,6,3,5,3,3,2
249731,,,4,8,1,4,1,1,1
249732,,,7,5,3,2,2,3,2
249736,,,7,9,2,6,2,1,1
249738,,,1,9,3,4,3,1,1
249739,,,4,5,1,2,1,1,1
249742,1.26022676471577,3,7,8,2,2,2,3,1
249744,1.6029613994397,2,7,8,2,2,2,1,1
249745,1.51218277617275,3,7,9,6,3,3,1,1
249747,,,7,8,4,6,4,2,1
249748,0.72519170364337,2,-9,6,2,1,1,1,2
249749,,,4,3,5,6,5,3,1
249751,,,4,5,5,5,5,3,2
249752,0.541065804367689,2,7,11,5,5,5,3,2
249754,0.412311736907758,6,7,3,1,1,1,1,1
249755,,,4,9,1,6,1,1,2
249760,,,4,8,3,3,3,3,2
249764,,,4,9,2,4,2,2,2
249769,,,4,2,2,5,2,3,2
249770,0.620169440356473,3,7,6,2,2,2,2,2
249771,,,7,9,5,3,3,3,2
249775,,,1,1,5,4,4,3,2
249776,,,7,3,3,3,3,3,2
249777,,,7,9,1,5,1,1,1
249781,,,4,8,3,3,3,2,1
249782,,,7,7,2,4,2,1,2
249784,,,7,8,1,6,1,1,1
249785,2.08861896568766,1,7,6,4,6,4,3,1
249788,0.494284617059695,2,7,10,2,3,2,1,1
249790,,,7,5,3,3,3,2,2
249792,1.56933196759024,3,7,8,4,2,2,3,1
249794,0.411486394382091,2,7,2,6,6,6,3,2
249796,,,4,5,6,5,5,3,2
249797,,,7,5,3,1,1,2,2
249800,0.908966190078202,1,7,2,5,1,1,3,2
249803,,,4,11,5,5,5,3,2
249805,,,7,4,2,5,2,2,2
249808,1.55574722177826,3,4,3,2,2,2,1,2
249810,,,7,4,2,2,2,3,1
249811,0.504535881575732,2,7,4,4,3,3,3,1
249818,,,7,8,5,6,5,3,2
249820,0.378410049944034,2,7,10,1,2,1,1,2
249821,,,1,6,5,2,2,3,2
249824,,,4,10,1,1,1,1,2
249829,,,7,10,4,2,2,1,1
249831,0.57492278752846,2,7,8,3,2,2,3,2
249834,0.68472209357403,7,4,8,3,3,3,1,2
249835,,,4,9,3,2,2,2,2
249836,,,7,5,6,6,6,3,1
249837,,,7,5,5,3,3,1,2
249839,,,4,5,2,3,2,3,2
249840,,,7,8,6,5,5,2,2
249841,,,7,3,2,1,1,1,2
249843,0.914328890121892,3,7,2,3,3,3,3,2
249846,,,7,11,3,2,2,1,2
249848,0.558329188428917,2,7,1,4,4,4,2,2
249849,,,7,11,5,6,5,3,1
249851,1.55854763328275,4,7,2,6,6,6,3,1
249853,0.826347532243534,1,7,1,5,3,3,3,1
249854,,,4,6,3,4,3,3,1
249856,0.789098821790607,2,7,1,2,2,2,1,1
249857,,,7,7,1,6,1,1,2
249858,,,7,10,5,2,2,3,2
249859,,,7,2,3,2,2,1,1
249860,,,7,5,2,2,2,1,1
249861,,,4,5,2,2,2,2,2
249862,,,7,1,3,5,3,3,2
249864,0.549259858957881,2,7,9,1,1,1,1,1
249865,0.490063443522323,2,4,2,1,2,1,3,2
249866,,,4,9,1,3,1,2,1
249868,,,7,9,2,3,2,3,1
249872,0.807202685575496,2,7,10,6,2,2,1,1
249873,,,7,4,5,3,3,1,1
249874,,,7,6,6,6,6,3,1
249875,,,7,2,1,5,1,2,2
249876,,,7,5,3,4,3,2,2
249877,0.990494732385777,3,7,7,4,5,4,3,1
249878,,,7,9,4,5,4,3,2
249879,,,4,10,6,5,5,3,1
249880,0.533141209638452,2,7,7,2,2,2,2,2
249881,0.903771020942428,3,7,4,2,2,2,1,2
249884,,,7,8,6,6,6,1,2
249885,,,4,6,6,2,2,2,1
249886,0.597407721586444,2,7,5,2,3,2,1,2
249887,,,7,7,6,6,6,3,1
249890,,,7,8,3,5,3,2,2
249893,,,7,4,3,3,3,3,2
249895,,,7,4,2,2,2,3,1
249897,0.460083913829794,2,7,3,3,2,2,1,2
249898,0.625415313231922,2,7,4,5,5,5,3,1
249899,,,7,2,3,2,2,2,1
249902,,,7,8,6,6,6,1,1
249903,0.794804505055809,3,7,10,6,5,5,3,1
249905,,,7,6,1,3,1,1,1
249909,0.449376987718381,2,7,8,1,2,1,1,2
249910,,,7,8,3,3,3,2,2
249911,,,7,6,3,2,2,3,1
249912,,,1,2,3,3,3,1,2
249913,0.749033984910101,2,4,3,2,5,2,3,1
249914,0.701298141330773,3,4,11,5,5,5,3,2
249915,,,7,3,6,6,6,3,2
249916,,,7,1,5,4,4,3,1
249921,,,7,7,1,1,1,1,2
249923,,,4,5,1,1,1,1,1
249924,,,7,9,1,3,1,1,2
249925,,,4,5,3,5,3,3,1
249926,0.920512408990782,2,4,6,4,5,4,3,1
249928,,,7,9,5,5,5,3,1
249929,,,7,7,6,3,3,1,1
249930,,,4,9,3,2,2,2,2
249931,,,7,3,4,5,4,2,2
249934,,,4,2,2,2,2,2,1
249935,,,-9,2,6,6,6,3,2
249936,5.73926479977822,3,7,7,4,6,4,3,1
249937,0.679772624666039,2,7,3,6,3,3,3,1
249938,,,7,3,5,5,5,2,1
249941,,,7,9,6,2,2,1,2
249943,,,7,7,2,2,2,1,1
249944,2.18213666899678,2,7,9,4,5,4,2,1
249945,0.764130542936462,2,7,8,3,3,3,1,2
249947,,,4,2,2,2,2,3,1
249948,,,7,4,6,6,6,3,2
249950,,,1,10,2,2,2,1,2
249951,,,4,6,4,3,3,2,1
249952,0.856003973819109,4,7,6,1,5,1,2,2
249953,,,4,10,3,2,2,2,2
249954,,,7,5,5,2,2,1,1
249955,,,4,5,3,3,3,3,1
249957,,,4,2,6,5,5,3,2
249958,,,7,1,5,5,5,3,2
249959,0.575988679176098,2,7,5,3,3,3,1,2
249961,3.17973986329572,2,7,5,6,6,6,3,2
249962,,,4,4,3,3,3,2,1
249963,,,7,3,3,6,3,2,1
249964,0.700208088173242,3,7,3,5,5,5,3,1
249965,,,7,10,6,6,6,3,2
249966,,,4,11,6,6,6,2,1
249968,,,7,9,5,3,3,2,2
249969,,,7,11,3,2,2,2,1
249972,,,4,6,3,3,3,3,2
249973,,,7,9,6,4,4,3,2
249976,,,7,3,1,6,1,1,1
249977,,,4,1,2,2,2,1,2
249978,0.449376987718381,2,7,8,2,2,2,1,2
249979,0.55556614238083,2,7,2,1,2,1,1,2
249982,0.521383339308678,2,7,2,2,3,2,2,1
249983,,,7,3,5,2,2,2,2
249984,,,7,2,5,6,5,3,1
249985,,,7,3,6,5,5,3,2
249986,3.92041373293006,1,4,9,3,2,2,3,1
249987,,,7,6,3,5,3,1,1
249990,0.558175830928332,2,7,9,5,5,5,3,2
249991,,,4,2,6,6,6,3,2
249992,,,4,5,4,5,4,2,1
249993,0.738858615727316,3,4,10,3,3,3,2,2
249994,,,4,9,5,5,5,3,2
249995,5.78122573045449,3,1,8,3,3,3,3,1
249996,0.520656235103274,7,7,8,1,3,1,2,2
249997,0.414035202471994,2,7,10,2,2,2,1,2
249998,,,7,5,4,3,3,2,1
249999,,,7,3,3,5,3,3,2
250000,,,4,2,6,5,5,1,1
250001,,,4,11,3,3,3,3,2
250003,,,7,5,6,6,6,3,1
250004,0.628797863611441,2,7,5,4,6,4,1,2
250005,,,7,6,2,2,2,1,2
250011,1.54120405450206,6,7,6,2,2,2,1,2
250013,,,7,3,4,5,4,3,1
250016,,,4,9,6,6,6,1,1
250018,0.443465946734561,2,7,9,2,3,2,2,2
250020,,,7,9,1,2,1,1,2
250021,,,4,2,2,2,2,1,1
250022,,,4,4,2,2,2,1,1
250023,,,7,6,5,2,2,1,2
250024,,,4,2,5,2,2,1,1
250025,1.82285484862744,2,7,3,3,4,3,3,2
250026,,,4,6,4,2,2,2,2
250027,0.809545966981706,3,4,10,4,5,4,3,2
250029,,,4,5,3,3,3,3,2
250032,,,7,2,3,6,3,3,2
250033,,,7,8,2,1,1,2,1
250036,0.80229868137556,2,-9,10,6,6,6,3,2
250037,,,4,5,6,3,3,1,2
250038,,,7,6,3,2,2,1,1
250039,,,7,1,6,6,6,3,1
250041,0.341766537893337,2,7,4,3,2,2,1,2
250045,,,7,5,3,3,3,3,2
250046,,,4,5,6,4,4,3,2
250047,,,7,3,6,5,5,3,1
250048,1.54755292904393,6,7,3,5,5,5,3,1
250049,0.822143368379671,2,7,11,3,4,3,3,1
250050,0.650744559745636,2,4,5,5,6,5,3,1
250051,,,4,3,4,5,4,3,2
250053,0.905025141135963,2,4,9,3,2,2,2,2
250057,,,7,4,6,2,2,1,2
250058,,,7,10,3,3,3,2,2
250060,,,4,9,4,4,4,1,2
250061,,,7,9,1,2,1,2,2
250062,,,1,2,6,1,1,1,2
250063,,,7,5,5,5,5,2,2
250064,,,1,7,3,3,3,3,1
250065,,,4,9,5,5,5,3,2
250067,0.469627261761379,2,7,9,2,6,2,2,2
250069,,,7,4,1,2,1,1,2
250071,1.40490119412621,2,7,6,5,6,5,3,1
250072,,,7,2,5,5,5,3,2
250073,0.529727473738223,3,4,5,6,4,4,2,2
250075,1.3591750265819,2,4,9,6,6,6,3,2
250076,0.567570071001577,2,7,3,6,2,2,1,1
250077,0.727179061586798,2,4,6,6,4,4,3,2
250079,,,7,2,3,6,3,1,2
250080,,,4,10,3,6,3,3,1
250081,,,7,5,1,2,1,2,1
250082,0.305310769877497,2,7,5,1,2,1,3,2
250083,,,7,4,2,5,2,1,2
250084,,,4,10,4,1,1,3,1
250085,,,7,3,6,2,2,3,2
250086,,,4,1,5,4,4,2,1
250087,,,7,5,6,5,5,3,2
250088,0.541095015443607,3,7,9,3,3,3,2,2
250089,,,4,6,3,4,3,3,2
250090,,,7,6,6,6,6,3,2
250091,0.832611893871365,2,7,9,6,2,2,3,1
250093,0.817654921101363,2,7,9,3,5,3,1,2
250095,,,7,10,6,5,5,3,2
250102,,,4,9,6,6,6,3,2
250105,,,7,2,5,6,5,3,2
250107,0.575527402545333,3,7,6,4,3,3,3,2
250111,,,4,4,3,3,3,2,1
250113,,,7,2,2,3,2,3,2
250119,,,4,5,5,5,5,3,1
250120,1.65179151399858,6,4,5,2,6,2,3,1
250125,,,4,5,6,5,5,1,2
250126,,,7,8,1,5,1,3,2
250127,,,7,3,6,6,6,3,1
250130,,,4,9,5,3,3,2,2
250133,,,4,2,6,6,6,2,2
250134,,,7,8,6,6,6,3,1
250136,0.69986101959166,2,7,2,3,3,3,3,2
250139,,,7,2,6,6,6,3,2
250143,,,7,7,1,2,1,1,2
250144,,,7,3,3,5,3,3,1
250146,0.46708931222007,2,4,10,1,6,1,2,2
250147,,,7,7,2,2,2,1,2
250149,0.638622761579535,2,7,10,1,3,1,1,2
250150,1.84422343795246,3,7,5,1,3,1,1,1
250153,,,7,2,1,1,1,3,2
250155,,,7,9,6,6,6,3,2
250160,2.43330178194986,1,4,5,5,5,5,3,1
250161,,,4,3,6,6,6,3,2
250162,,,7,9,2,3,2,1,2
250163,0.585578897805603,2,7,6,1,2,1,1,2
250164,,,7,2,3,1,1,1,2
250170,0.389889629777359,2,7,8,5,5,5,3,2
250172,,,7,4,5,6,5,2,1
250173,,,7,9,5,3,3,2,2
250174,,,7,2,3,3,3,2,2
250179,,,4,2,2,2,2,1,1
250180,0.552686635074891,6,7,9,6,6,6,3,1
250182,0.679773233047802,3,7,3,5,2,2,3,2
250185,,,4,6,5,5,5,3,1
250187,,,4,4,3,2,2,2,1
250189,0.262317062801964,2,7,3,1,5,1,3,2
250194,0.594157110411956,3,7,6,6,2,2,3,2
250195,,,7,8,6,5,5,3,1
250196,1.3810380308992,2,4,8,5,5,5,3,1
250201,,,7,2,1,5,1,2,1
250202,0.552631059225263,2,7,6,1,2,1,1,2
250203,,,7,5,1,6,1,3,1
250204,,,7,3,3,5,3,2,2
250205,,,-9,6,4,4,4,1,2
250208,,,4,5,3,6,3,3,2
250209,,,7,8,6,6,6,3,2
250210,0.427774166098729,2,7,8,1,6,1,2,2
250212,,,1,1,6,5,5,3,2
250213,,,7,2,3,3,3,3,1
250215,,,7,2,2,5,2,1,1
250216,1.28600879695807,2,4,10,4,6,4,3,1
250219,,,4,4,5,5,5,3,2
250220,0.483673784298193,2,7,9,6,2,2,3,2
250221,,,7,3,6,2,2,1,1
250223,0.495031587132709,2,7,9,3,4,3,2,1
250224,0.40414633707694,2,7,3,2,2,2,1,2
250227,,,7,2,2,6,2,3,2
250228,,,7,5,4,4,4,2,1
250229,,,7,9,1,2,1,2,1
250231,0.58628768949166,2,7,11,3,3,3,3,2
250233,,,4,9,2,5,2,3,1
250234,,,7,6,1,5,1,3,1
250235,,,7,1,3,5,3,3,1
250236,0.442150131143506,2,7,8,2,3,2,2,2
250239,1.28144779072196,3,7,1,3,2,2,1,2
250240,,,4,4,4,2,2,3,1
250241,0.662688795031846,3,4,9,6,2,2,3,2
250243,,,4,10,6,2,2,2,1
250247,1.08458673395073,3,7,9,3,6,3,3,2
250248,0.565020103082893,2,7,4,6,1,1,1,2
250250,,,4,8,3,5,3,2,2
250251,,,7,7,6,6,6,3,1
250252,,,4,1,2,3,2,2,1
250253,,,7,1,1,2,1,1,2
250254,0.695037258445299,2,4,5,4,6,4,3,1
250255,,,4,9,1,2,1,1,1
250256,0.984508853098995,3,7,5,5,1,1,1,1
250259,,,7,3,3,3,3,3,2
250261,,,4,8,3,5,3,3,1
250262,,,7,9,2,5,2,3,2
250263,0.43513214039953,2,7,5,5,3,3,3,2
250264,,,7,2,6,6,6,3,2
250265,,,7,2,5,2,2,3,2
250267,,,7,2,5,4,4,3,1
250268,,,7,4,4,2,2,3,2
250269,,,4,5,1,2,1,3,2
250270,0.5559564716623,3,7,10,2,3,2,3,2
250271,,,4,2,5,5,5,3,2
250274,,,7,2,6,6,6,3,2
250275,,,7,6,3,6,3,3,1
250276,,,1,2,6,2,2,1,1
250280,,,4,3,3,6,3,3,2
250284,,,7,9,3,5,3,2,1
250286,,,7,4,6,6,6,3,1
250289,,,7,2,5,5,5,3,1
250291,,,7,9,1,2,1,1,1
250292,,,7,11,4,6,4,3,1
250293,,,7,9,6,3,3,3,2
250295,,,4,11,4,5,4,2,1
250296,,,4,8,5,6,5,3,2
250297,,,7,3,4,6,4,3,1
250298,,,4,10,5,5,5,3,1
250299,,,7,6,2,4,2,2,1
250300,0.79693517151932,2,7,4,6,5,5,3,2
250302,,,4,6,1,3,1,2,2
250303,0.672931650675498,4,7,3,2,5,2,2,2
250305,,,7,8,3,6,3,3,1
250306,,,7,8,2,6,2,2,1
250307,,,4,2,3,5,3,3,2
250308,,,7,3,6,6,6,3,1
250309,,,4,6,1,1,1,1,2
250310,,,7,10,4,3,3,3,1
250311,,,7,2,2,2,2,3,1
250312,,,4,6,6,3,3,3,1
250314,,,7,1,5,6,5,3,2
250315,0.572988225076905,2,7,6,1,6,1,1,1
250316,,,4,10,3,3,3,2,1
250317,,,7,6,1,2,1,2,1
250320,0.957046784783871,2,4,9,2,3,2,1,1
250324,,,7,6,2,5,2,1,1
250326,,,4,1,6,2,2,1,2
250327,,,7,4,6,6,6,3,1
250328,1.17280527043874,4,4,10,2,4,2,1,2
250330,2.08036207837671,3,4,3,2,5,2,3,2
250332,,,7,6,3,5,3,3,1
250334,,,7,6,3,4,3,3,1
250337,,,4,6,4,5,4,3,1
250338,0.971367814845504,2,7,2,1,6,1,3,2
250339,,,1,3,2,5,2,1,2
250340,0.575678235877855,1,4,2,5,5,5,1,1
250341,,,7,5,6,6,6,3,1
250342,1.5595285987129,6,7,9,5,5,5,2,1
250344,,,7,9,4,5,4,3,2
250345,0.936502045544661,3,7,2,2,5,2,3,2
